time,x_original,x_drift,x_amplitude_scaled,x_lowfreq,v_original,v_drift,v_amplitude_scaled,v_lowfreq,a_original,a_drift,a_amplitude_scaled,a_lowfreq
0.81,-0.008362646652388736,-0.0075526466523887364,-0.012543969978583105,0.0003404651535937836,-0.017339590816193916,-0.016529590816193915,-0.026009386224290873,-0.03160064706263081,0.08362646652388442,0.08443646652388442,0.12543969978582664,-0.0034046515359363594
0.8200000000000001,-0.008531818944151542,-0.007711818944151541,-0.012797728416227313,0.00015084079015443265,-0.01649486753636714,-0.01567486753636714,-0.024742301304550712,-0.031616649261905154,0.08531818944147027,0.08613818944147027,0.12797728416220538,-0.0015084079015432572
0.8300000000000001,-0.008692461549391827,-0.007862461549391827,-0.01303869232408774,-3.886918286165466e-05,-0.015633653511690007,-0.014803653511690006,-0.02345048026753501,-0.03162000841012394,0.08692461549395628,0.08775461549395627,0.13038692324093443,0.0003886918286168774
0.84,-0.008844413865654967,-0.008004413865654966,-0.01326662079848245,-0.00022853832374956053,-0.014756809740937848,-0.013916809740937848,-0.022135214611406773,-0.031610722268414736,0.08844413865647535,0.08928413865647535,0.132666207984713,0.0022853832374937822
0.85,-0.008987523978603284,-0.008137523978603284,-0.013481285967904925,-0.00041818704857337567,-0.013865212848725647,-0.013015212848725647,-0.02079781927308847,-0.03159511348174154,0.08987523978596482,0.09072523978596482,0.13481285967894724,0.004181870485729072
0.86,-0.009121648813892418,-0.008261648813892419,-0.013682473220838627,-0.0006075849238804261,-0.012959754209101167,-0.012099754209101168,-0.01943963131365175,-0.03156055236506179,0.09121648813893099,0.09207648813893099,0.13682473220839647,0.006075849238802838
0.87,-0.009246654280209904,-0.008376654280209905,-0.013869981420314856,-0.0007968360658359976,-0.012041339054395948,-0.011171339054395948,-0.018062008581593923,-0.03151968532253938,0.09246654280211278,0.09333654280211277,0.13869981420316918,0.007968360658360246
0.88,-0.009362415403332977,-0.008482415403332976,-0.014043623104999466,-0.0009857937410886106,-0.01111088557021869,-0.010230885570218689,-0.016666328355328032,-0.03146620642833165,0.09362415403333887,0.09450415403333888,0.1404362310500083,0.009857937410884938
0.89,-0.009468816451071562,-0.008578816451071562,-0.014203224676607343,-0.0011743320093398383,-0.010169323977498246,-0.009279323977498246,-0.01525398596624737,-0.03140015132612381,0.09468816451074982,0.09557816451074982,0.14203224676612475,0.011743320093397763
0.9,-0.009565751048971534,-0.008665751048971534,-0.014348626573457302,-0.0013626605740903732,-0.009217595602496255,-0.008317595602496255,-0.013826393403744381,-0.031327808119915916,0.09565751048964863,0.09655751048964863,0.14348626573447293,0.013626605740904657
